,Count,Cumulative DB Time,Cumulative CPU Time,Release,Date
0,94714768,20252390358.0,33452482569.0,previous,2023-06-08
1,10966897,2211467906.0,3641332632.0,previous,2023-06-09
2,33861629,6709294090.0,11137093537.0,previous,2023-06-10
3,36862795,6587201837.0,11682783240.0,previous,2023-06-11
4,98613372,19163976611.0,34231170358.0,previous,2023-06-12
5,101588763,19773622461.0,35426546154.0,previous,2023-06-13
6,101807113,19738830481.0,35493042204.0,previous,2023-06-14
7,98393876,18279019392.0,34199757104.0,previous,2023-06-15
8,91646043,16573254545.0,31288859806.0,previous,2023-06-16
9,44691159,7761427966.0,15277299197.0,previous,2023-06-17
10,37307445,5990912531.0,11087520913.0,previous,2023-06-18
11,76182495,13488832579.0,24714412677.0,previous,2023-06-19
12,97546454,18279939256.0,33909073984.0,previous,2023-06-20
13,99463068,18827559641.0,34141966729.0,previous,2023-06-21
14,95319864,18194743391.0,33892941335.0,previous,2023-06-22
15,89123155,16957250126.0,31344037010.0,previous,2023-06-23
16,41940476,7625003145.0,14059948283.0,previous,2023-06-24
17,36100324,6319031133.0,11299613263.0,previous,2023-06-25
18,96382007,18505382327.0,33556590867.0,previous,2023-06-26
19,99024411,19632883656.0,35175877204.0,previous,2023-06-27
20,98186049,19354613225.0,34659496236.0,previous,2023-06-28
21,95748457,19309933699.0,34210948600.0,previous,2023-06-29
22,90733826,18112723674.0,30876252615.0,previous,2023-06-30
23,43628873,9206547194.0,14740073607.0,previous,2023-07-01
24,34966550,6546692639.0,11173974758.0,previous,2023-07-02
25,80151204,14598660816.0,26545353014.0,previous,2023-07-03
26,54759606,9990027565.0,18291287618.0,previous,2023-07-04
27,95011984,17939594923.0,32467238712.0,previous,2023-07-05
28,100776732,19191959169.0,34004264441.0,previous,2023-07-06
29,91593830,16764492125.0,30624971356.0,previous,2023-07-07
30,42128805,7882616490.0,13879308568.0,previous,2023-07-08
31,32526434,5942405397.0,10721783894.0,previous,2023-07-09
32,98350706,18760760584.0,33124913380.0,previous,2023-07-10
33,101350169,19304504945.0,34467320172.0,previous,2023-07-11
34,101556010,19555615422.0,33970257141.0,previous,2023-07-12
35,97202150,18768546427.0,33683735807.0,previous,2023-07-13
36,91305525,16720117090.0,30470383771.0,previous,2023-07-14
37,44294728,7837502235.0,14161721347.0,previous,2023-07-15
38,32575474,5665925994.0,10364097758.0,previous,2023-07-16
39,93472542,16936309202.0,30836640851.0,previous,2023-07-17
40,97472143,17633155844.0,32588625877.0,previous,2023-07-18
41,96318669,17688841744.0,32631102524.0,previous,2023-07-19
42,91676564,16734511583.0,31462677894.0,previous,2023-07-20
43,84714342,15224279503.0,28334795112.0,previous,2023-07-21
44,40008450,7108210627.0,12888525892.0,previous,2023-07-22
45,31238347,5509341151.0,10150684233.0,previous,2023-07-23
46,92170816,16680264276.0,30570427311.0,previous,2023-07-24
47,99339841,17859956724.0,32855717172.0,previous,2023-07-25
48,95386292,17682415350.0,31534346334.0,previous,2023-07-26
49,94545635,17187640574.0,31393838756.0,previous,2023-07-27
50,87712180,15867579023.0,28659816029.0,current,2023-07-28
51,41296763,7183350526.0,13427773981.0,current,2023-07-29
52,33388200,5805595546.0,10492292924.0,current,2023-07-30
53,98295301,18444281014.0,32755871458.0,current,2023-07-31
54,102662897,19576396693.0,34138850570.0,current,2023-08-01
55,99255945,18023120379.0,33012497204.0,current,2023-08-02
56,98418072,17756333986.0,32113982499.0,current,2023-08-03
57,87633961,16199288534.0,29792962247.0,current,2023-08-04
58,42201069,7366046097.0,13589395864.0,current,2023-08-05
59,32373185,5703780146.0,10229753475.0,current,2023-08-06
60,93449287,17392921993.0,31364663336.0,current,2023-08-07
61,98454009,28008992147.0,42947060453.0,current,2023-08-08
62,95125591,28084504130.0,42256074113.0,current,2023-08-09
63,93790585,17742891894.0,32252443741.0,current,2023-08-10
64,87989788,16134231859.0,29349234037.0,current,2023-08-11
65,42166070,7563984980.0,13653111311.0,current,2023-08-12
66,31501046,5807135253.0,10478451351.0,current,2023-08-13
67,93341034,17819206377.0,31869089462.0,current,2023-08-14
68,97241941,17734451780.0,32289120250.0,current,2023-08-15
69,97007382,18223347824.0,32223189346.0,current,2023-08-16
70,94452206,19291538696.0,33913622533.0,current,2023-08-17
71,85890240,17337275376.0,30674612906.0,current,2023-08-18
72,41370067,7912002092.0,13879939120.0,current,2023-08-19
73,30609119,5940013877.0,10081345844.0,current,2023-08-20
74,89934564,18239469786.0,31618356331.0,current,2023-08-21
75,96116083,18107960854.0,32052838840.0,current,2023-08-22
76,96498505,18442603921.0,32148855392.0,current,2023-08-23
77,92256689,17459148534.0,30652899933.0,current,2023-08-24
78,84330133,15670690537.0,27586956932.0,current,2023-08-25
79,39230862,7615026196.0,12443260737.0,current,2023-08-26
80,31855553,6249373428.0,9615392584.0,current,2023-08-27
81,89585119,16934934691.0,29610124439.0,current,2023-08-28
82,96905938,17956366933.0,31846636665.0,current,2023-08-29
83,94482923,17398252905.0,30679889384.0,current,2023-08-30
84,95535497,17821350036.0,31748055127.0,current,2023-08-31
85,86847530,15847896646.0,28561628659.0,current,2023-09-01
86,41818252,7642039004.0,13430347020.0,current,2023-09-02
87,33126126,5620212304.0,9761472206.0,current,2023-09-03
88,48794979,8890149757.0,15971537640.0,current,2023-09-04
89,97331567,17763991566.0,31536921094.0,current,2023-09-05
90,98846848,18426810266.0,32292740910.0,current,2023-09-06
91,94098569,16850857132.0,29812856852.0,current,2023-09-07
92,89253706,16771708314.0,29483747359.0,current,2023-09-08
93,40293542,7544890884.0,13038385191.0,current,2023-09-09
94,32029984,6143705567.0,10272388234.0,current,2023-09-10
95,92375511,17659362142.0,31450759196.0,current,2023-09-11
96,98617749,18366538785.0,32085386713.0,current,2023-09-12
97,96895616,18449863310.0,31690350793.0,current,2023-09-13
98,95523126,18166831755.0,31385036396.0,current,2023-09-14
99,87912780,16594760651.0,28945616582.0,current,2023-09-15
100,41853996,7671468608.0,13089741651.0,current,2023-09-16
101,32629871,5664323753.0,9671874443.0,current,2023-09-17
102,94506774,18601015568.0,32027481586.0,current,2023-09-18
103,92321241,18379476505.0,32146226539.0,current,2023-09-19
